Price Dates,Vegetable,Vegetable Price
01-01-2023,Bhindi (Ladies finger),35.0
02-01-2023,Bhindi (Ladies finger),35.0
03-01-2023,Bhindi (Ladies finger),35.0
04-01-2023,Bhindi (Ladies finger),30.0
08-01-2023,Bhindi (Ladies finger),35.0
11-01-2023,Bhindi (Ladies finger),35.0
12-01-2023,Bhindi (Ladies finger),40.0
15-01-2023,Bhindi (Ladies finger),42.0
17-01-2023,Bhindi (Ladies finger),35.0
22-01-2023,Bhindi (Ladies finger),45.0
23-01-2023,Bhindi (Ladies finger),42.0
24-01-2023,Bhindi (Ladies finger),45.0
25-01-2023,Bhindi (Ladies finger),40.0
27-01-2023,Bhindi (Ladies finger),35.0
29-01-2023,Bhindi (Ladies finger),35.0
30-01-2023,Bhindi (Ladies finger),40.0
31-01-2023,Bhindi (Ladies finger),40.0
01-02-2023,Bhindi (Ladies finger),42.5
02-02-2023,Bhindi (Ladies finger),35.0
03-02-2023,Bhindi (Ladies finger),40.0
05-02-2023,Bhindi (Ladies finger),38.0
06-02-2023,Bhindi (Ladies finger),40.0
07-02-2023,Bhindi (Ladies finger),35.0
08-02-2023,Bhindi (Ladies finger),40.0
09-02-2023,Bhindi (Ladies finger),40.0
10-02-2023,Bhindi (Ladies finger),38.0
12-02-2023,Bhindi (Ladies finger),45.0
13-02-2023,Bhindi (Ladies finger),40.0
14-02-2023,Bhindi (Ladies finger),40.0
15-02-2023,Bhindi (Ladies finger),40.0
16-02-2023,Bhindi (Ladies finger),28.0
17-02-2023,Bhindi (Ladies finger),23.0
19-02-2023,Bhindi (Ladies finger),33.0
20-02-2023,Bhindi (Ladies finger),33.0
21-02-2023,Bhindi (Ladies finger),33.0
22-02-2023,Bhindi (Ladies finger),33.0
23-02-2023,Bhindi (Ladies finger),33.0
24-02-2023,Bhindi (Ladies finger),33.0
26-02-2023,Bhindi (Ladies finger),32.0
27-02-2023,Bhindi (Ladies finger),37.0
28-02-2023,Bhindi (Ladies finger),32.0
01-03-2023,Bhindi (Ladies finger),30.0
02-03-2023,Bhindi (Ladies finger),37.0
03-03-2023,Bhindi (Ladies finger),32.0
05-03-2023,Bhindi (Ladies finger),32.0
06-03-2023,Bhindi (Ladies finger),32.0
08-03-2023,Bhindi (Ladies finger),33.0
09-03-2023,Bhindi (Ladies finger),32.0
10-03-2023,Bhindi (Ladies finger),33.0
12-03-2023,Bhindi (Ladies finger),32.0
13-03-2023,Bhindi (Ladies finger),29.5
14-03-2023,Bhindi (Ladies finger),35.0
15-03-2023,Bhindi (Ladies finger),28.0
16-03-2023,Bhindi (Ladies finger),37.0
17-03-2023,Bhindi (Ladies finger),32.0
19-03-2023,Bhindi (Ladies finger),37.0
20-03-2023,Bhindi (Ladies finger),32.0
21-03-2023,Bhindi (Ladies finger),32.0
22-03-2023,Bhindi (Ladies finger),32.0
23-03-2023,Bhindi (Ladies finger),37.0
24-03-2023,Bhindi (Ladies finger),40.0
26-03-2023,Bhindi (Ladies finger),32.0
27-03-2023,Bhindi (Ladies finger),37.0
28-03-2023,Bhindi (Ladies finger),32.0
29-03-2023,Bhindi (Ladies finger),28.0
30-03-2023,Bhindi (Ladies finger),32.0
31-03-2023,Bhindi (Ladies finger),32.0
02-04-2023,Bhindi (Ladies finger),32.0
03-04-2023,Bhindi (Ladies finger),32.0
04-04-2023,Bhindi (Ladies finger),37.0
05-04-2023,Bhindi (Ladies finger),32.0
06-04-2023,Bhindi (Ladies finger),32.0
07-04-2023,Bhindi (Ladies finger),40.0
09-04-2023,Bhindi (Ladies finger),32.0
10-04-2023,Bhindi (Ladies finger),32.0
11-04-2023,Bhindi (Ladies finger),33.0
12-04-2023,Bhindi (Ladies finger),33.0
13-04-2023,Bhindi (Ladies finger),32.0
14-04-2023,Bhindi (Ladies finger),27.0
16-04-2023,Bhindi (Ladies finger),32.0
17-04-2023,Bhindi (Ladies finger),31.0
18-04-2023,Bhindi (Ladies finger),32.0
19-04-2023,Bhindi (Ladies finger),32.0
21-04-2023,Bhindi (Ladies finger),27.0
23-04-2023,Bhindi (Ladies finger),28.0
24-04-2023,Bhindi (Ladies finger),30.0
25-04-2023,Bhindi (Ladies finger),25.0
26-04-2023,Bhindi (Ladies finger),27.0
27-04-2023,Bhindi (Ladies finger),25.0
28-04-2023,Bhindi (Ladies finger),22.5
30-04-2023,Bhindi (Ladies finger),20.0
02-05-2023,Bhindi (Ladies finger),24.0
03-05-2023,Bhindi (Ladies finger),28.5
04-05-2023,Bhindi (Ladies finger),28.5
05-05-2023,Bhindi (Ladies finger),24.5
07-05-2023,Bhindi (Ladies finger),24.5
08-05-2023,Bhindi (Ladies finger),22.0
09-05-2023,Bhindi (Ladies finger),20.0
10-05-2023,Bhindi (Ladies finger),20.0
11-05-2023,Bhindi (Ladies finger),22.0
12-05-2023,Bhindi (Ladies finger),25.0
14-05-2023,Bhindi (Ladies finger),20.0
15-05-2023,Bhindi (Ladies finger),27.0
16-05-2023,Bhindi (Ladies finger),20.0
17-05-2023,Bhindi (Ladies finger),22.0
18-05-2023,Bhindi (Ladies finger),20.0
19-05-2023,Bhindi (Ladies finger),22.0
21-05-2023,Bhindi (Ladies finger),20.0
23-05-2023,Bhindi (Ladies finger),21.0
24-05-2023,Bhindi (Ladies finger),22.0
25-05-2023,Bhindi (Ladies finger),17.5
26-05-2023,Bhindi (Ladies finger),17.5
28-05-2023,Bhindi (Ladies finger),17.5
29-05-2023,Bhindi (Ladies finger),17.5
30-05-2023,Bhindi (Ladies finger),20.0
31-05-2023,Bhindi (Ladies finger),17.5
01-06-2023,Bhindi (Ladies finger),17.5
02-06-2023,Bhindi (Ladies finger),20.0
04-06-2023,Bhindi (Ladies finger),20.0
05-06-2023,Bhindi (Ladies finger),21.0
06-06-2023,Bhindi (Ladies finger),22.0
07-06-2023,Bhindi (Ladies finger),20.0
08-06-2023,Bhindi (Ladies finger),21.0
11-06-2023,Bhindi (Ladies finger),20.0
12-06-2023,Bhindi (Ladies finger),25.0
13-06-2023,Bhindi (Ladies finger),22.0
14-06-2023,Bhindi (Ladies finger),27.5
15-06-2023,Bhindi (Ladies finger),24.5
16-06-2023,Bhindi (Ladies finger),24.5
18-06-2023,Bhindi (Ladies finger),27.0
19-06-2023,Bhindi (Ladies finger),27.0
20-06-2023,Bhindi (Ladies finger),27.0
21-06-2023,Bhindi (Ladies finger),27.0
22-06-2023,Bhindi (Ladies finger),27.0
23-06-2023,Bhindi (Ladies finger),27.0
25-06-2023,Bhindi (Ladies finger),24.5
26-06-2023,Bhindi (Ladies finger),22.0
27-06-2023,Bhindi (Ladies finger),27.0
28-06-2023,Bhindi (Ladies finger),20.0
29-06-2023,Bhindi (Ladies finger),20.0
30-06-2023,Bhindi (Ladies finger),20.0
02-07-2023,Bhindi (Ladies finger),27.0
03-07-2023,Bhindi (Ladies finger),22.0
04-07-2023,Bhindi (Ladies finger),27.0
05-07-2023,Bhindi (Ladies finger),22.0
06-07-2023,Bhindi (Ladies finger),22.0
07-07-2023,Bhindi (Ladies finger),25.0
09-07-2023,Bhindi (Ladies finger),27.0
11-07-2023,Bhindi (Ladies finger),27.0
12-07-2023,Bhindi (Ladies finger),22.5
13-07-2023,Bhindi (Ladies finger),27.5
14-07-2023,Bhindi (Ladies finger),20.0
16-07-2023,Bhindi (Ladies finger),20.0
17-07-2023,Bhindi (Ladies finger),20.0
18-07-2023,Bhindi (Ladies finger),25.0
19-07-2023,Bhindi (Ladies finger),27.0
20-07-2023,Bhindi (Ladies finger),25.0
21-07-2023,Bhindi (Ladies finger),20.0
23-07-2023,Bhindi (Ladies finger),27.0
24-07-2023,Bhindi (Ladies finger),27.0
25-07-2023,Bhindi (Ladies finger),25.0
26-07-2023,Bhindi (Ladies finger),27.0
27-07-2023,Bhindi (Ladies finger),27.0
28-07-2023,Bhindi (Ladies finger),30.0
30-07-2023,Bhindi (Ladies finger),30.0
31-07-2023,Bhindi (Ladies finger),30.0
01-08-2023,Bhindi (Ladies finger),32.0
02-08-2023,Bhindi (Ladies finger),35.0
03-08-2023,Bhindi (Ladies finger),25.0
04-08-2023,Bhindi (Ladies finger),27.0
06-08-2023,Bhindi (Ladies finger),30.0
07-08-2023,Bhindi (Ladies finger),25.0
08-08-2023,Bhindi (Ladies finger),27.0
09-08-2023,Bhindi (Ladies finger),27.0
10-08-2023,Bhindi (Ladies finger),27.0
11-08-2023,Bhindi (Ladies finger),22.5
13-08-2023,Bhindi (Ladies finger),24.0
14-08-2023,Bhindi (Ladies finger),20.0
17-08-2023,Bhindi (Ladies finger),21.0
18-08-2023,Bhindi (Ladies finger),20.0
20-08-2023,Bhindi (Ladies finger),20.0
21-08-2023,Bhindi (Ladies finger),25.0
22-08-2023,Bhindi (Ladies finger),27.0
23-08-2023,Bhindi (Ladies finger),23.5
24-08-2023,Bhindi (Ladies finger),20.0
25-08-2023,Bhindi (Ladies finger),17.0
27-08-2023,Bhindi (Ladies finger),21.0
28-08-2023,Bhindi (Ladies finger),21.0
29-08-2023,Bhindi (Ladies finger),22.0
30-08-2023,Bhindi (Ladies finger),22.0
31-08-2023,Bhindi (Ladies finger),20.0
01-09-2023,Bhindi (Ladies finger),20.0
03-09-2023,Bhindi (Ladies finger),17.0
04-09-2023,Bhindi (Ladies finger),20.0
06-09-2023,Bhindi (Ladies finger),20.0
07-09-2023,Bhindi (Ladies finger),17.0
08-09-2023,Bhindi (Ladies finger),20.0
10-09-2023,Bhindi (Ladies finger),20.0
11-09-2023,Bhindi (Ladies finger),22.0
12-09-2023,Bhindi (Ladies finger),22.0
13-09-2023,Bhindi (Ladies finger),22.0
14-09-2023,Bhindi (Ladies finger),22.0
15-09-2023,Bhindi (Ladies finger),20.0
17-09-2023,Bhindi (Ladies finger),21.0
18-09-2023,Bhindi (Ladies finger),23.0
19-09-2023,Bhindi (Ladies finger),23.0
20-09-2023,Bhindi (Ladies finger),21.0
21-09-2023,Bhindi (Ladies finger),22.0
22-09-2023,Bhindi (Ladies finger),22.0
24-09-2023,Bhindi (Ladies finger),21.0
25-09-2023,Bhindi (Ladies finger),23.0
26-09-2023,Bhindi (Ladies finger),33.0
27-09-2023,Bhindi (Ladies finger),21.0
28-09-2023,Bhindi (Ladies finger),26.0
01-10-2023,Bhindi (Ladies finger),27.0
02-10-2023,Bhindi (Ladies finger),26.0
03-10-2023,Bhindi (Ladies finger),29.5
04-10-2023,Bhindi (Ladies finger),32.0
05-10-2023,Bhindi (Ladies finger),37.0
06-10-2023,Bhindi (Ladies finger),37.0
08-10-2023,Bhindi (Ladies finger),40.0
09-10-2023,Bhindi (Ladies finger),35.0
10-10-2023,Bhindi (Ladies finger),32.5
11-10-2023,Bhindi (Ladies finger),30.0
12-10-2023,Bhindi (Ladies finger),25.0
13-10-2023,Bhindi (Ladies finger),24.5
15-10-2023,Bhindi (Ladies finger),32.0
16-10-2023,Bhindi (Ladies finger),32.0
17-10-2023,Bhindi (Ladies finger),32.0
